,Question,Numbers,Equation,Answer,group_nums,Type,Variation Type,Body,Ques
74,danny collects bottle caps and wrappers . he found number0 bottle caps and number1 wrappers at the park . now he has number2 bottle caps and number3 wrappers in his collection . how many more bottle caps than wrappers does danny have now ?,71 24 28 16,- number2 number3,12.0,"[1, 2, 8, 9, 10, 11, 12, 13, 14, 40, 41, 42, 21, 22, 23, 24, 25, 26, 27]",Subtraction,"33, 11",danny collects bottle caps and wrappers . he found number0 bottle caps and number1 wrappers at the park . now he has number2 bottle caps and number3 wrappers in his collection .,how many more bottle caps than wrappers does danny have now ?
75,danny collects bottle caps and wrappers . he found number0 bottle caps and number1 wrappers at the park . now he has number2 bottle caps and number3 wrappers in his collection . how many more wrappers than bottle caps does danny have now ?,10 62 27 43,- number3 number2,16.0,"[1, 2, 8, 9, 10, 11, 12, 13, 14, 40, 41, 42, 21, 22, 23, 24, 25, 26, 27]",Subtraction,"33, 13",danny collects bottle caps and wrappers . he found number0 bottle caps and number1 wrappers at the park . now he has number2 bottle caps and number3 wrappers in his collection .,how many more wrappers than bottle caps does danny have now ?
76,danny collects bottle caps . he lost number0 bottle caps at the park . now he has number1 bottle caps in his collection . how many bottle caps did danny have at first ?,66 25,+ number0 number1,91.0,"[32, 1, 2, 6, 7, 8, 9, 16, 17, 18, 19, 30, 31]",Addition,22,danny collects bottle caps . he lost number0 bottle caps at the park . now he has number1 bottle caps in his collection .,how many bottle caps did danny have at first ?
77,after finding some bottle caps at the park danny has number0 bottle caps in his collection . if he had number1 bottle caps in his collection earlier how many bottle caps did he find at the park ?,32 25,- number0 number1,7.0,"[1, 2, 34, 35, 36, 9, 10, 11, 12, 16, 19, 20, 21, 22]",Subtraction,"23, 32",after finding some bottle caps at the park danny has number0 bottle caps in his collection . if he had number1 bottle caps in his collection earlier,how many bottle caps did he find at the park ?
78,danny collects bottle caps . he he threw away number0 of the old ones at the park while he found number1 bottle caps new ones . now he has number2 bottle caps in his collection . how many bottle caps did danny have at first ?,60 58 67,- + number2 number0 number1,69.0,"[1, 2, 6, 8, 9, 10, 42, 43, 44, 14, 19, 20, 21, 22, 28, 29, 30, 31]",Subtraction,"21, 32",danny collects bottle caps . he he threw away number0 of the old ones at the park while he found number1 bottle caps new ones . now he has number2 bottle caps in his collection .,how many bottle caps did danny have at first ?
79,danny collects bottle caps . he he threw away number0 of the old ones at the park while he found number1 bottle caps new ones . now he has number2 bottle caps in his collection . how many more bottle caps did danny find at the park than those he threw away ?,6 50 60,- number1 number0,44.0,"[1, 2, 7, 8, 9, 10, 14, 49, 50, 19, 20, 21, 22, 51, 28, 29, 30, 31]",Subtraction,"21, 11, 32",danny collects bottle caps . he he threw away number0 of the old ones at the park while he found number1 bottle caps new ones . now he has number2 bottle caps in his collection .,how many more bottle caps did danny find at the park than those he threw away ?
80,danny collects bottle caps . he he threw away number0 of the old ones at the park while he found number1 bottle caps new ones . now he has number2 bottle caps in his collection . how many more bottle caps did danny throw away than those he found at the park ?,54 48 52,- number0 number1,6.0,"[1, 2, 7, 8, 9, 10, 14, 49, 50, 19, 20, 21, 22, 51, 28, 29, 30, 31]",Subtraction,"21, 11, 32",danny collects bottle caps . he he threw away number0 of the old ones at the park while he found number1 bottle caps new ones . now he has number2 bottle caps in his collection .,how many more bottle caps did danny throw away than those he found at the park ?
81,danny collects bottle caps and wrappers . he found number0 wrappers and number1 bottle caps at the park . now he has number2 bottle caps and number3 wrappers in his collection . how many bottle caps did danny have at first ?,82 29 42 61,- number2 number1,13.0,"[1, 2, 6, 38, 8, 9, 10, 11, 12, 13, 14, 39, 40, 21, 22, 23, 24, 25, 26, 27]",Subtraction,"33, 31",danny collects bottle caps and wrappers . he found number0 wrappers and number1 bottle caps at the park . now he has number2 bottle caps and number3 wrappers in his collection .,how many bottle caps did danny have at first ?
82,danny collects bottle caps and wrappers . he found number0 wrappers and number1 bottle caps at the park . now he has number2 bottle caps and number3 wrappers in his collection . how many wrappers did danny have at first ?,66 39 16 68,- number3 number0,2.0,"[1, 2, 5, 37, 38, 8, 9, 10, 11, 12, 13, 14, 39, 21, 22, 23, 24, 25, 26, 27]",Subtraction,"33, 12, 31",danny collects bottle caps and wrappers . he found number0 wrappers and number1 bottle caps at the park . now he has number2 bottle caps and number3 wrappers in his collection .,how many wrappers did danny have at first ?
83,danny collects bottle caps and wrappers . he found number0 wrappers and number1 bottle caps at the park . now he has number2 bottle caps and number3 wrappers in his collection . how many more bottle caps than wrappers did danny find at the park ?,46 50 21 52,- number1 number0,4.0,"[1, 2, 8, 9, 10, 11, 12, 13, 14, 42, 43, 44, 21, 22, 23, 24, 25, 26, 27]",Subtraction,"33, 11, 31",danny collects bottle caps and wrappers . he found number0 wrappers and number1 bottle caps at the park . now he has number2 bottle caps and number3 wrappers in his collection .,how many more bottle caps than wrappers did danny find at the park ?
84,danny collects bottle caps and wrappers . he found number0 wrappers and number1 bottle caps at the park . now he has number2 bottle caps and number3 wrappers in his collection . how many more wrappers than bottle caps did danny find at the park ?,65 5 31 9,- number0 number1,60.0,"[1, 2, 8, 9, 10, 11, 12, 13, 14, 42, 43, 44, 21, 22, 23, 24, 25, 26, 27]",Subtraction,"33, 13, 31",danny collects bottle caps and wrappers . he found number0 wrappers and number1 bottle caps at the park . now he has number2 bottle caps and number3 wrappers in his collection .,how many more wrappers than bottle caps did danny find at the park ?
85,danny collects bottle caps and wrappers . he found number0 bottle caps and number1 wrappers at the park . now he has number2 wrappers and number3 bottle caps in his collection . how many more bottle caps than wrappers does danny have now ?,58 25 11 12,- number3 number2,1.0,"[1, 2, 8, 9, 10, 11, 12, 13, 14, 40, 41, 42, 21, 22, 23, 24, 25, 26, 27]",Subtraction,"33, 11, 31",danny collects bottle caps and wrappers . he found number0 bottle caps and number1 wrappers at the park . now he has number2 wrappers and number3 bottle caps in his collection .,how many more bottle caps than wrappers does danny have now ?
86,danny collects bottle caps and wrappers . he found number0 bottle caps and number1 wrappers at the park . now he has number2 wrappers and number3 bottle caps in his collection . how many more wrappers than bottle caps does danny have now ?,15 18 67 35,- number2 number3,32.0,"[1, 2, 8, 9, 10, 11, 12, 13, 14, 40, 41, 42, 21, 22, 23, 24, 25, 26, 27]",Subtraction,"33, 13, 31",danny collects bottle caps and wrappers . he found number0 bottle caps and number1 wrappers at the park . now he has number2 wrappers and number3 bottle caps in his collection .,how many more wrappers than bottle caps does danny have now ?
87,jake has number0 fewer peaches than steven . if jake has number1 peaches . how many peaches does steven have ?,11 17,+ number0 number1,28.0,"[1, 2, 3, 4, 5, 10, 11, 12, 17, 18, 19]",Addition,23,jake has number0 fewer peaches than steven . if jake has number1 peaches .,how many peaches does steven have ?
88,jake has number0 fewer peaches than steven who has number1 more peaches than jill . steven has number2 peaches . how many peaches does jake have ?,7 14 15,- number2 number0,8.0,"[1, 2, 3, 4, 5, 8, 9, 10, 11, 16, 17, 18, 23, 24, 25]",Subtraction,33,jake has number0 fewer peaches than steven who has number1 more peaches than jill . steven has number2 peaches .,how many peaches does jake have ?
89,jake has number0 fewer peaches than steven who has number1 more peaches than jill . steven has number2 peaches . how many peaches does jill have ?,18 13 19,- number2 number1,6.0,"[1, 2, 3, 4, 5, 8, 9, 10, 11, 16, 17, 18, 23, 24, 25]",Subtraction,"33, 11",jake has number0 fewer peaches than steven who has number1 more peaches than jill . steven has number2 peaches .,how many peaches does jill have ?
90,jake has number0 fewer peaches than steven who has number1 more peaches than jill . steven has number2 peaches . how many more peaches does jake have than jill ?,3 8 5,- number1 number0,5.0,"[1, 2, 3, 4, 6, 8, 9, 10, 11, 16, 17, 18, 26, 27, 28]",Subtraction,"33, 11",jake has number0 fewer peaches than steven who has number1 more peaches than jill . steven has number2 peaches .,how many more peaches does jake have than jill ?
91,jake has number0 fewer peaches than steven who has number1 more peaches than jill . steven has number2 peaches . how many more peaches does jill have than jake ?,12 11 4,- number0 number1,1.0,"[1, 2, 3, 4, 6, 8, 9, 10, 11, 16, 17, 18, 26, 27, 28]",Subtraction,"33, 11",jake has number0 fewer peaches than steven who has number1 more peaches than jill . steven has number2 peaches .,how many more peaches does jill have than jake ?
92,jake has number0 fewer peaches than steven and number1 more peaches than jill . steven has number2 peaches . how many peaches does jake have ?,7 9 16,- number2 number0,9.0,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 15, 16, 17, 22, 23, 24]",Subtraction,33,jake has number0 fewer peaches than steven and number1 more peaches than jill . steven has number2 peaches .,how many peaches does jake have ?
93,jake has number0 fewer peaches than steven and number1 more peaches than jill . steven has number2 peaches . how many peaches does jill have ?,7 8 17,- - number2 number0 number1,2.0,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 15, 16, 17, 22, 23, 24]",Subtraction,"33, 11",jake has number0 fewer peaches than steven and number1 more peaches than jill . steven has number2 peaches .,how many peaches does jill have ?
94,jake has number0 fewer peaches than steven and number1 more peaches than jill . steven has number2 peaches . how many more peaches does steven have than jill ?,9 18 16,+ number0 number1,27.0,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 15, 16, 17, 25, 26, 27]",Addition,"33, 11",jake has number0 fewer peaches than steven and number1 more peaches than jill . steven has number2 peaches .,how many more peaches does steven have than jill ?
95,jake has number0 fewer peaches than steven . steven has number1 more peaches than jill . if jill has number2 peaches how many peaches does jake have ?,6 18 5,- + number1 number2 number0,17.0,"[1, 2, 3, 4, 6, 9, 10, 11, 12, 18, 19, 20, 24, 25, 26]",Subtraction,22,jake has number0 fewer peaches than steven . steven has number1 more peaches than jill . if jill has number2 peaches,how many peaches does jake have ?
